方法,分类,注释,参数,解释,例子
air_city_table,air-quality,真气网-空气质量历史数据查询-全部城市列表,,真气网-空气质量历史数据查询-全部城市列表\nhttps://www.zq12369.com/environment.php?date=2019-06-05&tab=rank&order=DESC&type=DAY#rank\n:return: 城市映射\n:rtype: pandas.DataFrame,
air_quality_hebei,空气-河北,"河北省空气质量预报信息发布系统-空气质量预报, 未来 6 天",,"河北省空气质量预报信息发布系统-空气质量预报, 未来 6 天\nhttp://218.11.10.130:8080/#/application/home\n:return: city = """", 返回所有地区的数据; city=""唐山市"", 返回唐山市的数据\n:rtype: pandas.DataFrame",
air_quality_hist,air-quality,真气网-空气历史数据,city;period;start_date;end_date,"真气网-空气历史数据\nhttps://www.zq12369.com/\n:param city: 调用 ak.air_city_table() 接口获取所有城市列表\n:type city: str\n:param period: ""hour"": 每小时一个数据, 由于数据量比较大, 下载较慢; ""day"": 每天一个数据; ""month"": 每个月一个数据\n:type period: str\n:param start_date: e.g., ""20190327""\n:type start_date: str\n:param end_date: e.g., ""20200327""\n:type end_date: str\n:return: 指定城市和数据频率下在指定时间段内的空气质量数据\n:rtype: pandas.DataFrame",
air_quality_rank,air-quality,真气网-168 城市 AQI 排行榜,date,"真气网-168 城市 AQI 排行榜\nhttps://www.zq12369.com/environment.php?date=2020-03-12&tab=rank&order=DESC&type=DAY#rank\n:param date: """": 当前时刻空气质量排名; ""20200312"": 当日空气质量排名; ""202003"": 当月空气质量排名; ""2019"": 当年空气质量排名;\n:type date: str\n:return: 指定 date 类型的空气质量排名数据\n:rtype: pandas.DataFrame",
air_quality_watch_point,air-quality,真气网-监测点空气质量-细化到具体城市的每个监测点,city;start_date;end_date,"真气网-监测点空气质量-细化到具体城市的每个监测点\n指定之间段之间的空气质量数据\nhttps://www.zq12369.com/\n:param city: 调用 ak.air_city_table() 接口获取\n:type city: str\n:param start_date: e.g., ""20190327""\n:type start_date: str\n:param end_date: e.g., """"20200327""""\n:type end_date: str\n:return: 指定城市指定日期区间的观测点空气质量\n:rtype: pandas.DataFrame",
amac_aoin_info,中国证券投资基金业协会-信息公示,中国证券投资基金业协会-信息公示-基金产品公示-证券公司直投基金,,中国证券投资基金业协会-信息公示-基金产品公示-证券公司直投基金\nhttps://gs.amac.org.cn/amac-infodisc/res/aoin/product/index.html\n:return: 证券公司直投基金\n:rtype: pandas.DataFrame,
amac_fund_abs,中国证券投资基金业协会-信息公示,中国证券投资基金业协会-信息公示-基金产品公示-资产支持专项计划公示信息,,中国证券投资基金业协会-信息公示-基金产品公示-资产支持专项计划公示信息\nhttps://gs.amac.org.cn/amac-infodisc/res/fund/abs/index.html\n:return: 资产支持专项计划公示信息\n:rtype: pandas.DataFrame,
amac_fund_account_info,中国证券投资基金业协会-信息公示,中国证券投资基金业协会-信息公示-基金产品公示-基金公司及子公司集合资管产品公示,,中国证券投资基金业协会-信息公示-基金产品公示-基金公司及子公司集合资管产品公示\nhttps://gs.amac.org.cn/amac-infodisc/res/fund/account/index.html\n:return: 基金公司及子公司集合资管产品公示\n:rtype: pandas.DataFrame,
amac_fund_info,中国证券投资基金业协会-信息公示,中国证券投资基金业协会-信息公示-基金产品-私募基金管理人基金产品,start_page;end_page,"中国证券投资基金业协会-信息公示-基金产品-私募基金管理人基金产品\nhttps://gs.amac.org.cn/amac-infodisc/res/pof/fund/index.html\n:param start_page: 开始页码, 获取指定页码直接的数据\n:type start_page: str\n:param end_page: 结束页码, 获取指定页码直接的数据\n:type end_page: str\n:return: 私募基金管理人基金产品\n:rtype: pandas.DataFrame",
amac_fund_sub_info,中国证券投资基金业协会-信息公示,中国证券投资基金业协会-信息公示-基金产品公示-证券公司私募投资基金,,中国证券投资基金业协会-信息公示-基金产品公示-证券公司私募投资基金\nhttps://gs.amac.org.cn/amac-infodisc/res/pof/subfund/index.html\n:return: 证券公司私募投资基金\n:rtype: pandas.DataFrame,
amac_futures_info,中国证券投资基金业协会-信息公示,中国证券投资基金业协会-信息公示-基金产品公示-期货公司集合资管产品公示,,中国证券投资基金业协会-信息公示-基金产品公示-期货公司集合资管产品公示\nhttps://gs.amac.org.cn/amac-infodisc/res/pof/futures/index.html\n:return: 期货公司集合资管产品公示\n:rtype: pandas.DataFrame,
