方法,参数,分类,解释,例子
option_margin,,期权保证金,,
option_margin_symbol,,期权保证金,,
stock_hk_company_profile_em,,东方财富-港股-证券资料,,
stock_hk_security_profile_em,,东方财富-港股-证券资料,,
bond_sh_buy_back_em,,东方财富网-行情中心-债券市场-质押式回购,,
bond_sz_buy_back_em,,东方财富网-行情中心-债券市场-质押式回购,,
bond_buy_back_hist_em,,东方财富网-行情中心-债券市场-质押式回购,,
stock_zh_a_gbjg_em,,东方财富-A股数据-股本结构,,
stock_zh_a_spot_em_async,,异步接口,,
stock_individual_fund_flow_rank_async,,异步接口,,
stock_board_concept_name_em_async,,异步接口,,
stock_individual_basic_info_xq,,雪球-个股-公司概况-公司简介,,
stock_individual_basic_info_hk_xq,,雪球-个股-公司概况-公司简介,,
stock_individual_basic_info_us_xq,,雪球-个股-公司概况-公司简介,,
index_global_hist_sina,,新浪财经-行情中心-环球市场,,
index_global_name_table,,新浪财经-行情中心-环球市场,,
index_global_hist_em,,东方财富网-行情中心-全球指数,,
index_global_spot_em,,东方财富网-行情中心-全球指数,,
forex_hist_em,,东方财富网-行情中心-外汇市场-所有汇率,,
forex_spot_em,,东方财富网-行情中心-外汇市场-所有汇率,,
stock_zh_ah_spot_em,,东方财富网-行情中心-沪深港通,,
stock_hsgt_sh_hk_spot_em,,东方财富网-行情中心-沪深港通,,
stock_financial_us_report_em,,东方财富-美股-财务分析-三大报表,,
stock_financial_us_analysis_indicator_em,,东方财富-美股-财务分析-三大报表,,
futures_hist_table_em,,期货行情-内盘-历史行情数据-东财,,
futures_hist_em,,期货行情-内盘-历史行情数据-东财,,
stock_hold_change_cninfo,,巨潮资讯-数据中心-专题统计-股东股本-股本变动,,
fund_fee_em,,基金费率,,
stock_value_em,,东方财富网-数据中心-估值分析-每日互动-每日互动-估值分析,,
volatility_yz_rv,,已实现波动率,,
rv_from_futures_zh_minute_sina,,已实现波动率,,
rv_from_stock_zh_a_hist_min_em,,已实现波动率,,
qdii_a_index_jsl,,QDII,,
qdii_e_index_jsl,,QDII,,
qdii_e_comm_jsl,,QDII,,
stock_news_main_cx,,财新网-财新数据通,,
spot_hog_soozhu,,搜猪-生猪大数据-各省均价实时排行榜,,
spot_hog_year_trend_soozhu,,搜猪-生猪大数据-各省均价实时排行榜,,
spot_hog_lean_price_soozhu,,搜猪-生猪大数据-各省均价实时排行榜,,
spot_hog_three_way_soozhu,,搜猪-生猪大数据-各省均价实时排行榜,,
spot_hog_crossbred_soozhu,,搜猪-生猪大数据-各省均价实时排行榜,,
spot_corn_price_soozhu,,搜猪-生猪大数据-各省均价实时排行榜,,
spot_soybean_price_soozhu,,搜猪-生猪大数据-各省均价实时排行榜,,
spot_mixed_feed_soozhu,,搜猪-生猪大数据-各省均价实时排行榜,,
stock_hk_famous_spot_em,,知名港股,,
macro_stock_finance,,同花顺-数据中心-宏观数据-股票筹资,,
macro_rmb_loan,,同花顺-数据中心-宏观数据-股票筹资,,
macro_rmb_deposit,,同花顺-数据中心-宏观数据-股票筹资,,
stock_concept_cons_futu,,富途牛牛-主题投资-概念板块-成分股,,
option_comm_info,,商品期权手续费,,
option_comm_symbol,,商品期权手续费,,
option_daily_stats_sse,,上海证券交易所-产品-股票期权-每日统计,,
option_daily_stats_szse,,上海证券交易所-产品-股票期权-每日统计,,
fund_etf_spot_ths,,同花顺理财-基金数据-每日净值-ETF,,
stock_margin_account_info,,东方财富网-数据中心-融资融券-融资融券账户统计-两融账户信息,,
spot_price_qh,,现货走势,,
spot_price_table_qh,,现货走势,,
macro_info_ws,,华尔街见闻-日历-宏观,,
index_news_sentiment_scope,,数库-A股新闻情绪指数,,
index_hist_fund_sw,,申万宏源研究-申万指数-指数发布-基金指数-实时行情,,
index_realtime_fund_sw,,申万宏源研究-申万指数-指数发布-基金指数-实时行情,,
stock_info_cjzc_em,,东方财富-财经早餐,,
stock_info_global_em,,东方财富-财经早餐,,
stock_info_global_ths,,东方财富-财经早餐,,
stock_info_global_futu,,东方财富-财经早餐,,
stock_info_global_sina,,东方财富-财经早餐,,
stock_info_global_cls,,东方财富-财经早餐,,
stock_info_broker_sina,,东方财富-财经早餐,,
futures_contract_info_shfe,,期货交易-参数汇总查询,,
futures_contract_info_dce,,期货交易-参数汇总查询,,
futures_contract_info_czce,,期货交易-参数汇总查询,,
futures_contract_info_gfex,,期货交易-参数汇总查询,,
futures_contract_info_cffex,,期货交易-参数汇总查询,,
futures_contract_info_ine,,期货交易-参数汇总查询,,
futures_stock_shfe_js,,上海期货交易所-指定交割仓库-库存周报,,
stock_hsgt_fund_min_em,,东方财富-数据中心-沪深港通-市场概括-分时数据,,
futures_global_spot_em,,东方财富网-行情中心-期货市场-国际期货,,
futures_global_hist_em,,东方财富网-行情中心-期货市场-国际期货,,
stock_individual_spot_xq,,雪球行情数据,,
stock_hk_profit_forecast_et,,港股盈利预测,,
stock_zh_a_disclosure_relation_cninfo,,巨潮资讯-首页-公告查询-信息披露,,
